PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-30,14:05:55,1,1,"Rhule, Stephen",1000158041,Right,OAK_GOL,"Herbert, Kaleb",1000188968,Right,TOL_ROC,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.09932,-0.729426,-2.393225,1958.408827,241.02899,2:00,6.46916,1.64184,6.38199,-25.62104,11.18449,17.72745,3.66242,0.91619,78.2984,-5.596235,0.81736,0.436645,,,,,,,,,,,,-9.96788,6.47256,-1.47671,50,6.40491,4.56814,-126.32534,-2.35656,-15.79526,30.38376,-21.91757,OAK_GOL,TOL_ROC,OaklandBaseballField,D1,HORZ,20250430-OaklandBaseballField-1,24e3d960-25f6-11f0-81bf-2b8ffec0f5bb,86.32293,,,8.80093,,,,,,,eb81c5ca-2c4c-4f6f-ad82-c71c3762ee17,2025-04-30,19:05:55,2025-04-30T14:05:55.2123904-05:00,2025-04-30T19:05:55.2123904Z,,v3,471397,471468,30 April 2025 14:30-toledo@oakland,"Clark, Ben",10098571,Right,OAK_GOL,cb74ac7e-613a-48e1-a163-389124ae1143,54.11547,-127.31134,15.19188,6.46984,-1.6453,-10.95878,-1.63327,5.08072,-7.89763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-30,14:06:09,1,2,"Rhule, Stephen",1000158041,Right,OAK_GOL,"Herbert, Kaleb",1000188968,Right,TOL_ROC,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.4603,-2.564801,-3.294008,2070.373022,217.635122,1:15,6.47144,1.55817,6.77507,-18.90792,17.1869,12.19284,2.54844,-0.43682,78.58845,-6.232998,-1.072695,0.432408,,,,,,,,,,,,-7.50886,10.33367,-1.34699,50,6.29642,6.82704,-126.69381,-6.12594,-11.9591,30.74048,-15.71602,OAK_GOL,TOL_ROC,OaklandBaseballField,D1,HORZ,20250430-OaklandBaseballField-1,2d2c8400-25f6-11f0-81bf-2b8ffec0f5bb,87.16866,,,8.87185,,,,,,,eb81c5ca-2c4c-4f6f-ad82-c71c3762ee17,2025-04-30,19:06:09,2025-04-30T14:06:09.1465216-05:00,2025-04-30T19:06:09.1465216Z,,v3,471397,471468,30 April 2025 14:30-toledo@oakland,"Clark, Ben",10098571,Right,OAK_GOL,2ba56223-bb0d-4c51-9958-e99997b47495,53.72156,-127.5936,15.37024,6.46899,-5.66593,-7.85801,-1.55195,7.17709,-5.97955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-30,14:06:23,1,3,"Rhule, Stephen",1000158041,Right,OAK_GOL,"Herbert, Kaleb",1000188968,Right,TOL_ROC,Undefined,1,Top,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.6773,1.890308,-0.868968,2236.794731,27.058304,7:00,6.49149,1.81532,6.04125,-57.29901,-6.98032,-4.43622,3.46765,0.64099,68.05326,-8.675961,-1.668409,0.510547,,,,,,,,,,,,1.99681,-3.60484,-1.74528,50,6.60874,1.80212,-108.4096,1.85013,2.34754,21.09733,-36.41205,OAK_GOL,TOL_ROC,OaklandBaseballField,D1,HORZ,20250430-OaklandBaseballField-1,354f0900-25f6-11f0-81bf-2b8ffec0f5bb,73.82749,,,6.62404,,,,,,,eb81c5ca-2c4c-4f6f-ad82-c71c3762ee17,2025-04-30,19:06:23,2025-04-30T14:06:22.8814336-05:00,2025-04-30T19:06:22.8814336Z,,v3,471397,471468,30 April 2025 14:30-toledo@oakland,"Clark, Ben",10098571,Right,OAK_GOL,58a86bba-4b4e-425c-9c20-07db3172e57e,54.45964,-109.27403,10.54867,6.50237,3.34206,-18.20602,-1.81715,1.70593,1.17377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-30,14:06:38,1,4,"Rhule, Stephen",1000158041,Right,OAK_GOL,"Herbert, Kaleb",1000188968,Right,TOL_ROC,Undefined,1,Top,0,2,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.52938,-2.644685,-3.940184,2106.269893,219.426269,1:15,6.46216,1.57254,6.841,-20.28501,16.37678,12.35764,2.35251,-0.99655,78.1325,-6.558322,-1.688418,0.435791,,,,,,,,,,,,-7.77607,9.91969,-1.3235,50,6.2846,8.17344,-125.32026,-6.28228,-12.17871,28.91196,-16.63807,OAK_GOL,TOL_ROC,OaklandBaseballField,D1,HORZ,20250430-OaklandBaseballField-1,3ea3f380-25f6-11f0-81bf-2b8ffec0f5bb,86.49203,,,8.39688,,,,,,,eb81c5ca-2c4c-4f6f-ad82-c71c3762ee17,2025-04-30,19:06:38,2025-04-30T14:06:38.3930880-05:00,2025-04-30T19:06:38.3930880Z,,v3,471397,471468,30 April 2025 14:30-toledo@oakland,"Clark, Ben",10098571,Right,OAK_GOL,7d1905b2-ee5d-42c8-ae66-fd1c7b864c91,53.65642,-126.16099,14.45598,6.46025,-5.79846,-8.31904,-1.56632,8.52759,-6.08935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-30,14:06:53,1,5,"Rhule, Stephen",1000158041,Right,OAK_GOL,"Herbert, Kaleb",1000188968,Right,TOL_ROC,Undefined,1,Top,0,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.71709,1.681008,0.39725,2262.981,35.027766,7:15,6.43796,1.77467,6.21158,-57.68247,-7.8026,-6.64528,3.18302,1.58754,68.18527,-8.980999,-0.804988,0.508316,,,,,,,,,,,,3.60355,-4.20858,-1.80107,50,6.53498,-0.53215,-108.56225,1.52732,4.24666,21.22973,-37.13373,OAK_GOL,TOL_ROC,OaklandBaseballField,D1,HORZ,20250430-OaklandBaseballField-1,47571fc0-25f6-11f0-81bf-2b8ffec0f5bb,74.15154,,,6.53182,,,,,,,eb81c5ca-2c4c-4f6f-ad82-c71c3762ee17,2025-04-30,19:06:53,2025-04-30T14:06:52.9679872-05:00,2025-04-30T19:06:52.9679872Z,,v3,471397,471468,30 April 2025 14:30-toledo@oakland,"Clark, Ben",10098571,Right,OAK_GOL,64bd5966-dd76-43dc-b51b-86302ecda550,54.29161,-109.39827,10.61487,6.44605,2.98963,-18.56686,-1.77682,-0.69938,2.12333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-30,14:07:07,1,6,"Rhule, Stephen",1000158041,Right,OAK_GOL,"Herbert, Kaleb",1000188968,Right,TOL_ROC,Undefined,1,Top,0,3,2,Fastball,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,86.51659,-1.553581,-3.072063,2083.0383,222.102261,1:30,6.43246,1.71358,6.67789,-19.83867,17.08678,14.18867,3.35565,0.08298,77.74923,-5.39586,-0.491207,0.437355,79.97498,11.900213,-23.786439,909.942498,99.14898,13.16748,-47.63826,182.74076,142.61606,-27.2746,1.879966,-8.53512,9.93359,-1.51318,50,6.32034,6.20834,-125.45822,-3.88897,-13.3332,30.08309,-16.65621,OAK_GOL,TOL_ROC,OaklandBaseballField,D1,HORZ,20250430-OaklandBaseballField-1,4fe16740-25f6-11f0-81bf-2b8ffec0f5bb,86.18268,13.66481,,8.76736,,,,2.09641,3.42769,-0.092,eb81c5ca-2c4c-4f6f-ad82-c71c3762ee17,2025-04-30,19:07:07,2025-04-30T14:07:07.3596928-05:00,2025-04-30T19:07:07.3596928Z,LineDrive,v3,471397,471468,30 April 2025 14:30-toledo@oakland,"Clark, Ben",10098571,Right,OAK_GOL,6a20806e-bb0c-4e7e-85aa-4338d9c3e409,53.82093,-126.3711,15.04155,6.43069,-3.38353,-8.32811,-1.70771,6.61295,-6.6666,131.044125,2.09641,105.02594,-14.7867,3.13653,-0.60693,0.10345,-0.01538,0.00178,-0.0001,3.42769,24.18745,-14.69256,0.50185,-0.03625,0.01044,-0.00492,0.00195,-0.00027,-0.092,-46.29228,1.0021,0.03702,-0.05148,0.01093,0.00035,-0.00068,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2025-04-30,14:07:38,2,1,"Rhule, Stephen",1000158041,Right,OAK_GOL,"Konczak, Caden",1000236670,Left,TOL_ROC,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.49719,-0.962369,-3.276323,2177.276704,218.796571,1:15,6.48998,1.89812,6.70295,-18.44505,16.41958,12.25146,4.07142,-0.07991,80.3157,-4.52191,-1.048126,0.424976,,,,,,,,,,,,-7.40867,9.2906,-1.68434,50,6.4183,6.88354,-128.44428,-2.61558,-12.28603,28.42634,-16.76711,OAK_GOL,TOL_ROC,OaklandBaseballField,D1,HORZ,20250430-OaklandBaseballField-1,61f58bf0-25f6-11f0-81bf-2b8ffec0f5bb,88.69317,,,8.18149,,,,,,,eb81c5ca-2c4c-4f6f-ad82-c71c3762ee17,2025-04-30,19:07:38,2025-04-30T14:07:37.6949248-05:00,2025-04-30T19:07:37.6949248Z,,v3,471397,471468,30 April 2025 14:30-toledo@oakland,"Clark, Ben",10098571,Right,OAK_GOL,b1de0d24-bf70-404d-b0e8-cfb746d6007b,53.79569,-129.28158,14.21317,6.48807,-2.1217,-8.38355,-1.89243,7.24543,-6.14302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-30,14:07:51,2,2,"Rhule, Stephen",1000158041,Right,OAK_GOL,"Konczak, Caden",1000236670,Left,TOL_ROC,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,87.55594,-3.425988,-3.220842,2257.514399,220.813894,1:15,6.41517,1.90759,6.85573,-17.78859,17.79946,14.2891,1.8007,0.15885,79.50075,-6.865399,-0.612791,0.429362,68.12596,73.445583,-20.039709,,,,,,29.1654,,,-8.63075,10.89989,-1.70677,50,6.1894,6.63453,-126.92618,-8.0224,-13.93067,28.54455,-14.5808,OAK_GOL,TOL_ROC,OaklandBaseballField,D1,HORZ,20250430-OaklandBaseballField-1,69fd35f0-25f6-11f0-81bf-2b8ffec0f5bb,87.78708,82.6588,,8.05519,,,,2.86671,1.39859,-0.02465,eb81c5ca-2c4c-4f6f-ad82-c71c3762ee17,2025-04-30,19:07:51,2025-04-30T14:07:51.1930368-05:00,2025-04-30T19:07:51.1930368Z,,v3,471397,471468,30 April 2025 14:30-toledo@oakland,"Clark, Ben",10098571,Right,OAK_GOL,a187523e-52c4-415a-973b-f10cfc9c7eec,53.64492,-127.74326,14.27228,6.41307,-7.60503,-7.2904,-1.90238,7.03329,-6.96533,163.209516,2.86671,26.74554,-10.05737,3.3742,-0.83508,0.17536,-0.02395,-0.00202,0.00117,1.39859,95.77627,-26.042,2.82872,-0.43518,0.02743,0.0176,-0.01119,0.00232,-0.02465,-9.75558,-4.19556,1.94327,-0.56966,0.1389,-0.02824,0.00336,-5.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
9,2025-04-30,14:08:27,3,1,"Rhule, Stephen",1000158041,Right,OAK_GOL,"Sudbrook, Troy",1000182670,Left,TOL_ROC,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.20429,-3.650065,-3.151028,2271.494732,223.355661,1:30,6.42596,1.80751,6.35787,-17.54623,18.21666,16.00375,1.59471,0.2381,80.06382,-7.013923,-0.257017,0.430415,,,,,,,,,,,,-9.28579,10.97508,-1.58607,50,6.15244,6.39741,-127.7189,-8.61371,-15.19274,28.63076,-14.21741,OAK_GOL,TOL_ROC,OaklandBaseballField,D1,HORZ,20250430-OaklandBaseballField-1,7f112d20-25f6-11f0-81bf-2b8ffec0f5bb,87.57224,,,8.14047,,,,,,,eb81c5ca-2c4c-4f6f-ad82-c71c3762ee17,2025-04-30,19:08:27,2025-04-30T14:08:26.5474048-05:00,2025-04-30T19:08:26.5474048Z,,v3,471397,471468,30 April 2025 14:30-toledo@oakland,"Clark, Ben",10098571,Right,OAK_GOL,1545cca6-92b2-4d6e-b114-24b57efc9b49,54.14152,-128.64395,14.31538,6.42333,-8.15434,-7.1087,-1.8007,6.88828,-7.59637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-30,14:08:41,3,2,"Rhule, Stephen",1000158041,Right,OAK_GOL,"Sudbrook, Troy",1000182670,Left,TOL_ROC,Undefined,1,Top,2,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.872,-1.700569,-2.459678,1790.990977,245.932107,2:15,6.33196,1.88143,6.44442,-32.60769,10.94119,20.94678,2.05016,1.3655,72.34861,-7.842934,1.341878,0.474963,,,,,,,,,,,,-11.65264,6.75402,-1.71507,50,6.19687,4.21491,-115.85668,-4.33161,-15.58461,24.87918,-23.141,OAK_GOL,TOL_ROC,OaklandBaseballField,D1,HORZ,20250430-OaklandBaseballField-1,87a0a4c0-25f6-11f0-81bf-2b8ffec0f5bb,79.35867,,,7.52339,,,,,,,eb81c5ca-2c4c-4f6f-ad82-c71c3762ee17,2025-04-30,19:08:41,2025-04-30T14:08:40.8242688-05:00,2025-04-30T19:08:40.8242688Z,,v3,471397,471468,30 April 2025 14:30-toledo@oakland,"Clark, Ben",10098571,Right,OAK_GOL,77866d9f-5d2e-4bf7-ac34-49f589d96222,54.05384,-116.72396,12.43959,6.33381,-3.52492,-11.5705,-1.87147,4.75819,-7.79231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
